STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
42,1,31000,1400000US42001031000,42001031000,310.0,Adams,PA,Pennsylvania,"Census Tract 310, Adams County, Pennsylvania",1873.0,114.0,1412.0,1.1931,0.4652,0.9931,0.5124,0.6773,0.7006,0.4583,0.366,2.2022,0.6216,0.0,0.8563,0.0,0.8515,0.0,0.0,1.7078,0.8269,1.0,0.2109,0.816,2.0269,0.832,0.6443,0.0,0.0,0.6443,0.2416,0.8357,0.8357,0.8357,7.4169,0.8012,0.0746,0.0746,0.0746,0.2934,0.5636,0.159,0.1169,0.2461,0.2497,0.5419,2.1706,0.2245,0.4519,0.6446,0.3508,0.0,1.4473,0.1233,0.5337,0.5527,1.0864,0.6938,4.7789,0.1919,0.0,1.0,0.0,0.0,0.0,1.0,0.2,2.0,9.79,0.37,28.14,0.0,99.98,0.0,29.69,0.0,0.0,0.0,33.91,5.5,70.8,0.0,0.0,98.89,4.3,19.957,11.3,2.4,11.9,19.3353,3.9,17.7,14.9,24.1,10.5,0.0,1.0,0.4,29.8,10.4,6.9,15.2,9.8,0.3731,0.6732,0.5402,0.3826,0.6368
42,1,31101,1400000US42001031101,42001031101,311.01,Adams,PA,Pennsylvania,"Census Tract 311.01, Adams County, Pennsylvania",5133.0,224.0,4929.0,1.8566,0.77,1.2566,0.7016,0.6773,0.6986,0.4987,0.3802,2.2548,0.6372,0.0,0.8577,0.0,0.8804,0.0,0.0,1.7381,0.8381,1.0,0.5441,0.1314,1.6755,0.5958,0.6475,0.0,0.0,0.6475,0.2439,0.8357,0.8357,0.8357,7.1516,0.7559,0.1425,0.1425,0.1425,0.4366,0.4023,0.6389,0.6172,0.668,0.2847,0.6875,3.7352,0.5554,0.6906,0.3926,0.5515,0.3205,1.9552,0.4516,0.496,0.5072,1.0032,0.6724,6.8361,0.5007,0.0,1.0,1.0,1.0,0.0,3.0,0.6,2.0,9.78,0.4,28.45,0.0,100.0,0.0,41.14,0.0,0.0,0.0,65.13,14.67,71.67,0.0,0.0,98.89,7.1,26.8473,7.9,6.0,39.7,32.0618,4.3,22.4,18.9,20.6,13.3,0.5,0.7,0.3,30.7,10.7,7.5,16.1,10.8,0.4272,0.7373,0.6866,0.5105,0.7237
42,1,31102,1400000US42001031102,42001031102,311.02,Adams,PA,Pennsylvania,"Census Tract 311.02, Adams County, Pennsylvania",3258.0,165.0,1775.0,0.871,0.2773,0.671,0.2586,0.6773,0.6893,0.3993,0.3612,2.1271,0.5983,0.0,0.6173,0.0,0.8958,0.0,0.0,1.5131,0.7569,1.0,0.1591,0.4775,1.6366,0.5641,0.3567,0.0,0.0,0.3567,0.1172,0.6967,0.6967,0.6967,6.3302,0.5906,0.2111,0.2111,0.2111,0.2,0.4784,0.0804,0.1149,0.3082,0.2141,0.5419,1.9379,0.1832,0.8562,0.3011,0.2349,0.2137,1.6059,0.1951,0.0,0.0,0.0,0.0,3.7549,0.0804,0.0,0.0,1.0,0.0,0.0,1.0,0.2,2.0,9.73,0.33,28.03,0.0,38.63,0.0,48.68,0.0,0.0,0.0,27.08,9.5,12.0,0.0,0.0,82.40999999999998,10.4,15.3775,9.4,1.7,11.8,21.0,3.5,17.7,22.9,19.2,8.9,0.2,0.0,0.0,31.1,10.1,7.6,13.7,10.1,0.4524,0.5987,0.7108,0.4209,0.4677
42,1,31201,1400000US42001031201,42001031201,312.01,Adams,PA,Pennsylvania,"Census Tract 312.01, Adams County, Pennsylvania",3728.0,22.0,2258.0,0.6206,0.1451,0.4206,0.1063,0.6773,0.6204,0.3399,0.3183,1.9559,0.5353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7918,0.385,0.7623,1.9391,0.7785,0.0,0.4733,0.0,0.4733,0.154,0.344,0.344,0.344,4.7123,0.2282,0.1728,0.1728,0.1728,0.2156,0.2915,0.0218,0.1377,0.1734,0.1896,0.4117,1.4413,0.1045,0.9231,0.2782,0.6473,0.0,1.8486,0.3621,0.5337,0.7865,1.3202,0.783,4.7829,0.1924,0.0,0.0,1.0,0.0,0.0,1.0,0.2,2.0,9.49,0.29,27.04,0.0,0.0,0.0,0.0,0.0,0.0,5.33,51.59,6.08,0.0,45.83,0.0,25.34,8.5,16.1777,6.0,0.8,13.0,17.3228,3.2,14.0,26.2,18.8,14.8,0.0,1.0,2.0,32.7,9.6,8.5,12.5,10.5,0.5477,0.4568,0.8794,0.4731,0.3268
42,1,31202,1400000US42001031202,42001031202,312.02,Adams,PA,Pennsylvania,"Census Tract 312.02, Adams County, Pennsylvania",2728.0,19.0,998.0,0.8485,0.2643,0.8485,0.394,0.6773,0.6337,0.3242,0.3022,1.9374,0.5279,0.9319,0.5118,0.0,0.0,0.0,0.0,1.4437,0.7322,1.0,0.3406,0.816,2.1566,0.8971,0.3734,0.505,0.0,0.8784,0.4292,0.4901,0.4901,0.4901,6.9062,0.7105,0.0846,0.0846,0.0846,0.2143,0.4284,0.2712,0.1082,0.2598,0.3021,0.5353,2.1193,0.2152,0.6512,0.3715,0.4745,0.0,1.4972,0.1433,0.6268,0.0,0.6268,0.3524,4.3279,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.53,0.28,26.65,1.97,16.37,0.0,0.0,0.0,0.0,0.0,47.6,5.5,14.3,52.47,0.0,46.1,4.7,16.1148,8.4,3.2,11.4,19.7059,4.5,17.5,18.2,20.3,12.2,0.0,2.4,0.0,31.1,10.1,7.3,14.3,10.1,0.4524,0.5987,0.6363,0.4209,0.538
42,1,31203,1400000US42001031203,42001031203,312.03,Adams,PA,Pennsylvania,"Census Tract 312.03, Adams County, Pennsylvania",3181.0,22.0,1044.0,1.0538,0.3867,0.8538,0.3983,0.6773,0.6689,0.3399,0.3259,2.012,0.5564,0.9523,0.4433,0.0,0.768,0.0,0.0,2.1636,0.915,1.0,0.3438,0.8592,2.203,0.9173,0.0,0.2332,0.0,0.2332,0.081,0.6083,0.6083,0.6083,7.2201,0.768,0.0557,0.0557,0.0557,0.1729,0.4928,0.2712,0.0622,0.1884,0.1149,0.4479,1.7503,0.1526,0.7818,0.2034,0.41,0.0,1.3952,0.1061,0.6126,0.0,0.6126,0.3373,3.8138,0.0858,0.0,0.0,1.0,0.0,0.0,1.0,0.2,2.0,9.64,0.29,27.23,11.21,7.75,0.0,9.13,0.0,0.0,0.0,47.92,5.0,0.0,7.34,0.0,65.49,3.5,14.06,9.7,3.2,8.4,17.7741,2.3,15.0,20.8,17.3,11.3,0.0,2.1,0.0,31.3,10.2,7.7,14.2,10.5,0.4642,0.6245,0.7342,0.4731,0.5265
42,1,31300,1400000US42001031300,42001031300,313.0,Adams,PA,Pennsylvania,"Census Tract 313, Adams County, Pennsylvania",4495.0,35.0,4732.0,1.0948,0.4106,0.8948,0.4311,0.6773,0.6468,0.3242,0.2996,1.9479,0.5321,0.0,0.8577,0.0,0.0,0.0,0.0,0.8577,0.5172,1.0,0.478,0.4582,1.9362,0.7767,0.0,0.7666,0.0,0.7666,0.3209,0.5079,0.5079,0.5079,6.0163,0.5203,0.1643,0.1643,0.1643,0.3003,0.5241,0.4585,0.4603,0.5411,0.3531,0.4939,3.1313,0.421,0.562,0.6831,0.6832,0.3749,2.3032,0.7459,0.4558,0.0,0.4558,0.2291,6.0546,0.3745,0.0,1.0,0.0,0.0,0.0,1.0,0.2,2.0,9.57,0.28,26.59,0.0,100.0,0.0,0.0,0.0,0.0,0.0,59.67,9.83,0.0,100.0,0.0,49.07,8.1,20.2957,10.4,4.5,29.1,27.4797,5.1,16.3,16.7,24.7,15.4,0.7,0.5,0.0,29.5,10.4,7.1,15.4,9.5,0.355,0.6732,0.5871,0.344,0.6567
42,1,31401,1400000US42001031401,42001031401,314.01,Adams,PA,Pennsylvania,"Census Tract 314.01, Adams County, Pennsylvania",4233.0,121.0,3872.0,1.848,0.7667,1.248,0.6957,0.6074,0.5942,0.3091,0.3221,1.8328,0.4841,0.967,0.5915,0.0,0.0,0.0,0.0,1.5585,0.7731,0.5606,0.2747,0.6705,1.5058,0.4491,0.6924,0.5198,0.96,2.1722,0.9622,0.3267,0.3267,0.3267,7.396,0.7977,0.1728,0.1728,0.1728,0.2715,0.4736,0.3739,0.2774,0.3675,0.0996,0.4618,2.3253,0.2536,0.9784,0.2458,0.793,0.3205,2.3377,0.7702,0.7652,0.9249,1.6901,0.9585,6.5259,0.4503,1.0,0.0,1.0,0.0,1.0,3.0,0.6,1.33,9.41,0.27,27.14,26.37,32.14,0.0,0.0,0.0,0.0,61.61,41.23,7.08,83.54,55.66,39.64,22.88,8.5,18.8827,9.3,3.9,19.7,22.5664,2.1,15.4,35.8,18.2,17.7,0.5,8.5,6.5,37.9,10.1,10.1,13.0,13.2,0.7995,0.5987,0.9728,0.7523,0.3852
42,1,31402,1400000US42001031402,42001031402,314.02,Adams,PA,Pennsylvania,"Census Tract 314.02, Adams County, Pennsylvania",1988.0,122.0,1660.0,0.7416,0.2051,0.5416,0.1729,0.6451,0.5911,0.3242,0.2928,1.8532,0.4929,0.0,0.4807,0.0,0.0,0.0,0.0,0.4807,0.3145,0.5631,0.5636,0.7305,1.8572,0.726,0.2892,0.5993,0.0,0.8885,0.4332,0.3102,0.3102,0.3102,5.3898,0.3755,0.2599,0.2599,0.2599,0.1975,0.2025,0.6674,0.1717,0.143,0.2141,0.3082,1.9044,0.1776,0.9659,0.1495,0.5918,0.0,1.7072,0.257,0.696,0.0,0.696,0.4013,4.5675,0.1661,0.0,0.0,1.0,0.0,0.0,1.0,0.2,1.67,9.4,0.28,26.43,0.0,11.82,0.0,0.0,0.0,0.0,60.76,66.77,6.42,3.18,73.65999999999998,0.0,20.75,13.0,15.256,4.5,6.3,14.7,16.3546,3.5,11.2,31.7,15.8,13.9,0.0,4.8,0.0,34.5,9.9,8.6,12.9,11.3,0.65,0.5445,0.8908,0.5716,0.3736
42,1,31501,1400000US42001031501,42001031501,315.01,Adams,PA,Pennsylvania,"Census Tract 315.01, Adams County, Pennsylvania",3458.0,255.0,5022.0,1.5778,0.6577,1.1778,0.6488,0.6451,0.607,0.4149,0.3509,2.0179,0.5589,0.9202,0.7633,0.0,0.0,0.0,0.0,1.6835,0.8178,0.3853,0.7579,0.0434,1.1866,0.1763,0.7891,0.7666,0.0,1.5557,0.7805,0.4522,0.4522,0.4522,6.8959,0.7086,0.2929,0.2929,0.2929,0.8114,0.5414,0.537,0.8773,0.6226,0.4022,0.732,4.5239,0.7183,0.0565,0.027,0.4024,0.3491,0.835,0.0241,0.0,0.9927,0.9927,0.6628,6.6445,0.4692,0.0,1.0,0.0,1.0,0.0,2.0,0.4,1.67,9.45,0.34,27.81,0.18,81.29,0.0,0.0,0.0,0.0,100.0,82.11,16.17,100.0,100.0,0.0,40.41,14.9,49.3966,10.8,5.1,67.1,30.2817,5.7,24.1,6.4,5.0,11.2,0.6,0.0,64.6,14.9,11.8,2.8,20.4,4.4,0.009,0.8887,0.0143,0.0137,0.9494
42,1,31502,1400000US42001031502,42001031502,315.02,Adams,PA,Pennsylvania,"Census Tract 315.02, Adams County, Pennsylvania",4231.0,254.0,9298.0,1.7269,0.7213,1.3269,0.7436,0.6451,0.6039,0.4441,0.3513,2.0444,0.5685,0.0,0.6751,0.0,0.0,0.0,0.0,0.6751,0.4172,0.3853,0.9162,0.0199,1.3214,0.2779,0.7596,0.7666,0.0,1.5262,0.7604,0.446,0.446,0.446,6.0131,0.5196,0.476,0.476,0.476,0.6666,0.6745,0.6674,0.8768,0.7065,0.5093,0.8217,4.9228,0.7914,0.6399,0.3715,0.7396,0.1916,1.9426,0.4411,0.5589,0.9491,1.508,0.8822,8.8494,0.8073,0.0,1.0,0.0,1.0,0.0,2.0,0.4,1.67,9.44,0.36,27.82,0.0,54.69,0.0,0.0,0.0,0.0,100.0,93.02,16.96,97.75,100.0,0.0,39.52,27.7,39.0662,14.4,6.3,67.0,33.6623,7.2,28.4,18.0,20.3,16.5,0.1,1.3,10.3,31.2,11.0,6.6,16.7,11.4,0.4583,0.7919,0.471,0.5831,0.7746
